,Year,Week_Number,Date,Label,Open_Price,Close_Price,Portfolio_Value
0,2020,0,2020-01-02,Red,5.96875,5.901750087738037,100.0
1,2020,0,2020-01-03,Red,5.96875,5.901750087738037,100.0
2,2020,1,2020-01-06,Green,5.808000087738037,6.107999801635742,105.16528425216573
3,2020,1,2020-01-07,Green,5.808000087738037,6.107999801635742,105.16528425216573
4,2020,1,2020-01-08,Green,5.808000087738037,6.107999801635742,105.16528425216573
5,2020,1,2020-01-09,Green,5.808000087738037,6.107999801635742,105.16528425216573
6,2020,1,2020-01-10,Green,5.808000087738037,6.107999801635742,105.16528425216573
7,2020,2,2020-01-13,Green,6.191500186920166,6.23199987411499,107.30027169373
8,2020,2,2020-01-14,Green,6.191500186920166,6.23199987411499,107.30027169373
9,2020,2,2020-01-15,Green,6.191500186920166,6.23199987411499,107.30027169373
10,2020,2,2020-01-16,Green,6.191500186920166,6.23199987411499,107.30027169373
11,2020,2,2020-01-17,Green,6.191500186920166,6.23199987411499,107.30027169373
12,2020,3,2020-01-21,Green,6.195250034332275,6.26200008392334,107.81680422394959
13,2020,3,2020-01-22,Green,6.195250034332275,6.26200008392334,107.81680422394959
14,2020,3,2020-01-23,Green,6.195250034332275,6.26200008392334,107.81680422394959
15,2020,3,2020-01-24,Green,6.195250034332275,6.26200008392334,107.81680422394959
16,2020,4,2020-01-27,Red,5.955999851226807,5.910749912261963,101.76910852224078
17,2020,4,2020-01-28,Red,5.955999851226807,5.910749912261963,101.76910852224078
18,2020,4,2020-01-29,Red,5.955999851226807,5.910749912261963,101.76910852224078
19,2020,4,2020-01-30,Red,5.955999851226807,5.910749912261963,101.76910852224078
20,2020,4,2020-01-31,Red,5.955999851226807,5.910749912261963,101.76910852224078
21,2020,5,2020-02-03,Green,5.892499923706055,6.289750099182129,108.62999893241442
22,2020,5,2020-02-04,Green,5.892499923706055,6.289750099182129,108.62999893241442
23,2020,5,2020-02-05,Green,5.892499923706055,6.289750099182129,108.62999893241442
24,2020,5,2020-02-06,Green,5.892499923706055,6.289750099182129,108.62999893241442
25,2020,5,2020-02-07,Green,5.892499923706055,6.289750099182129,108.62999893241442
26,2020,6,2020-02-10,Green,6.3125,7.244750022888184,125.12376085566386
